Genus_sp,plantFamily,plantMean,plantMeanProp,plantMeanPropLogit,plantGini,plantGiniAdj,plantGiniAdjLogit
Abronia_latifolia,Nyctaginaceae,6.25,0.0625,-2.70805020110221,0.510870056497177,0.510870056497177,0.04348707798805797
Abutilon_theophrasti,Malvaceae,2.14035087719298,0.0214035087719298,-3.822564523454179,0.484484777517566,0.484484777517566,-0.06208082068503642
Acacia_dealbata,Fabaceae,6.26666666666666,0.0626666666666666,-2.7052092901006075,0.760097367472054,0.760097367472054,1.153213396944998
Acacia_implexa,Fabaceae,4.82666666666667,0.0482666666666667,-2.981543692224334,0.438202312950652,0.438202312950652,-0.24846109217947093
Acacia_longifolia,Fabaceae,26.8333333333333,0.268333333333333,-1.0030950480907102,0.326560690599011,0.326560690599011,-0.7237820657136508
Acacia_suaveolens,Fabaceae,13.4044871794872,0.134044871794872,-1.8656584841771011,0.528390296567618,0.528390296567618,0.11368346467077192
Acer_campestre,Sapindaceae,6.69444444444444,0.0669444444444444,-2.6346016561216383,0.5249354106318,0.5249354106318,0.09982445524735035
Acer_platanoides,Sapindaceae,1.93333333333333,0.0193333333333333,-3.926401890614965,0.762711864406782,0.762711864406782,1.1676051601550739
Acer_saccharum,Sapindaceae,2.98333333333333,0.0298333333333333,-3.4818415414309816,0.92538585361235,0.92538585361235,2.517880670480996
Achillea_ptarmica,Asteraceae,0.541666666666666,0.00541666666666666,-5.212843268877295,0.928031290743158,0.928031290743158,2.556834019793086
Achyranthes_aspera,Amaranthaceae,3.46666666666667,0.0346666666666667,-3.3266948543642334,0.55712190352021,0.55712190352021,0.22948951835848957
Adesmia_boronioides,Fabaceae,0.0862068965517241,8.62068965517241e-4,-7.0553128433397525,1,0.99,4.595119850134589
Adiantum_pedatum,Pteridaceae,2.23943661971831,0.0223943661971831,-3.7762969331193523,0.638095238095237,0.638095238095237,0.5671064596645757
Aesculus_parviflora,Sapindaceae,23.0816326530612,0.230816326530612,-1.2037075171510163,0.343501326259948,0.343501326259948,-0.6477297008691478
Ageratina_altissima,Asteraceae,14.099999999999984,0.14099999999999985,-1.8070090316060885,0.347590029669374,0.347590029669374,-0.6296494435372888
Ageratina_havanensis,Asteraceae,1.91666666666667,0.0191666666666667,-3.9352298913311254,0.751658069270452,0.751658069270452,1.107474975925968
Ageratum_conyzoides,Asteraceae,4.84975253237334,0.0484975253237334,-2.9765295151599203,0.537988208070745,0.537988208070745,0.15224622742505056
Ageratum_fastigiatum,Asteraceae,0.961666666666667,0.00961666666666667,-4.634594369285181,0.416355785330319,0.416355785330319,-0.33775142778288175
Agrimonia_eupatoria,Rosaceae,1.3,0.013,-4.329720681971945,0.730986527596699,0.730986527596699,0.999633567848307
Ailanthus_altissima,Simaroubaceae,3.2822800925926,0.032822800925926,-3.3832583007985924,0.721987136911136,0.721987136911136,0.9543399400975309
Alcea_rosea,Malvaceae,4.3,0.043,-3.102603275759392,0.354881093154645,0.354881093154645,-0.5976518669959489
Alliaria_petiolata,Brassicaceae,3.30833333333333,0.0330833333333333,-3.3750826836603562,0.510737309482134,0.510737309482134,0.04295584190217788
Alnus_acuminata,Betulaceae,18.9083333333333,0.189083333333333,-1.4559774600421493,0.621097922627008,0.621097922627008,0.4942109542407891
Alnus_hirsuta,Betulaceae,11.4886079466307,0.114886079466307,-2.0417753364454985,0.386792752355648,0.386792752355648,-0.4608139403517121
Alsophila_setosa,Cyatheaceae,2.41666666666667,0.0241666666666667,-3.6983175336112417,0.0338983050847458,0.0338983050847458,-3.3499040872746035
Alstroemeria_aurea,Alstroemeriaceae,7.33333333333333,0.0733333333333333,-2.5365786603323217,0.655392912172575,0.655392912172575,0.6428300295430442
Alstroemeria_pulchra,Alstroemeriaceae,8.64166666666667,0.0864166666666667,-2.358194037445012,0.330892568197049,0.330892568197049,-0.7041508775772136
Alternanthera_brasiliana,Amaranthaceae,17.55,0.1755,-1.5471380990937331,0.5570750749233615,0.5570750749233615,0.22929972893661024
Alternanthera_ficoidea,Amaranthaceae,6.54,0.0654,-2.6595963718031728,0.471241728433458,0.471241728433458,-0.11516018765046279
Alternanthera_sessilis,Amaranthaceae,32.7666666666667,0.327666666666667,-0.7187574178070437,0.383295687707986,0.383295687707986,-0.4755829526134975
Amaranthus_sp,Amaranthaceae,20.0793650793651,0.200793650793651,-1.381341403991041,0.312813974244548,0.312813974244548,-0.7869963530478046
Ammophila_breviligulata,Poaceae,1.08333333333333,0.0108333333333333,-4.514235037148135,0.885528031290746,0.885528031290746,2.0458541343560945
Amorpha_canescens,Fabaceae,3.14166666666667,0.0314166666666667,-3.428495985195696,0.539450613676214,0.539450613676214,0.15813114464497838
Amorphophallus_commutatus,Araceae,18.9827586206897,0.189827586206897,-1.451130862380133,0.389358955973039,0.389358955973039,-0.4500076130853884
Amsinckia_menziesii,Boraginaceae,20.2988095238095,0.202988095238095,-1.3677222824698265,0.458088347122145,0.458088347122145,-0.16804092292455558
Andropogon_virginicus,Poaceae,1.975,0.01975,-3.9046541498253102,0.65000357577058,0.65000357577058,0.6190549261161596
Anemone_coronaria,Ranunculaceae,5.185621928253193,0.051856219282531923,-2.9060312831059556,0.7101966400481773,0.7101966400481773,0.8963392656479329
Antennaria_neglecta,Asteraceae,0.12491666666666651,0.001249166666666665,-6.684028669129935,0.9414980744047975,0.9414980744047975,2.778412632999871
Anthemis_galilae,Asteraceae,8.72101587298,0.0872101587298,-2.3481848459658905,0.405292652312092,0.405292652312092,-0.3834600274615372
